Column,Year,Age,Sex,Participant,Casualty,Total
362,2006,15 - 17 years,Male,Pedal cyclists,Injured,4
363,2006,15 - 17 years,Male,Pedal cyclists,Killed,0
364,2006,15 - 17 years,Male,Other road users,Injured,24
365,2006,15 - 17 years,Male,Other road users,Killed,2
366,2006,15 - 17 years,Male,Motor cyclists,Injured,28
367,2006,15 - 17 years,Male,Motor cyclists,Killed,1
368,2006,15 - 17 years,Male,Car passengers,Injured,96
369,2006,15 - 17 years,Male,Car passengers,Killed,4
370,2006,15 - 17 years,Male,Car drivers,Injured,50
371,2006,15 - 17 years,Male,Car drivers,Killed,5
372,2006,15 - 17 years,Female,Pedestrians,Injured,26
373,2006,15 - 17 years,Female,Pedestrians,Killed,2
374,2006,15 - 17 years,Female,Pedal cyclists,Injured,1
375,2006,15 - 17 years,Female,Pedal cyclists,Killed,0
376,2006,15 - 17 years,Female,Other road users,Injured,11
377,2006,15 - 17 years,Female,Other road users,Killed,0
378,2006,15 - 17 years,Female,Motor cyclists,Injured,1
379,2006,15 - 17 years,Female,Motor cyclists,Killed,0
380,2006,15 - 17 years,Female,Car passengers,Injured,119
381,2006,15 - 17 years,Female,Car passengers,Killed,2
382,2006,15 - 17 years,Female,Car drivers,Injured,19
383,2006,15 - 17 years,Female,Car drivers,Killed,1
384,2006,18 - 20 years,Male,Pedestrians,Injured,27
385,2006,18 - 20 years,Male,Pedestrians,Killed,3
386,2006,18 - 20 years,Male,Pedal cyclists,Injured,7
387,2006,18 - 20 years,Male,Pedal cyclists,Killed,0
388,2006,18 - 20 years,Male,Other road users,Injured,56
389,2006,18 - 20 years,Male,Other road users,Killed,2
390,2006,18 - 20 years,Male,Motor cyclists,Injured,24
391,2006,18 - 20 years,Male,Motor cyclists,Killed,2
392,2006,18 - 20 years,Male,Car passengers,Injured,154
393,2006,18 - 20 years,Male,Car passengers,Killed,7
394,2006,18 - 20 years,Male,Car drivers,Injured,264
395,2006,18 - 20 years,Male,Car drivers,Killed,15
396,2006,18 - 20 years,Female,Pedestrians,Injured,31
397,2006,18 - 20 years,Female,Pedestrians,Killed,1
398,2006,18 - 20 years,Female,Pedal cyclists,Injured,1
399,2006,18 - 20 years,Female,Pedal cyclists,Killed,0
400,2006,18 - 20 years,Female,Other road users,Injured,12
401,2006,18 - 20 years,Female,Other road users,Killed,0
402,2006,18 - 20 years,Female,Motor cyclists,Injured,3
403,2006,18 - 20 years,Female,Motor cyclists,Killed,0
404,2006,18 - 20 years,Female,Car passengers,Injured,157
405,2006,18 - 20 years,Female,Car passengers,Killed,8
406,2006,18 - 20 years,Female,Car drivers,Injured,134
407,2006,18 - 20 years,Female,Car drivers,Killed,3
408,2006,21 - 24 years,Male,Pedestrians,Injured,46
409,2006,21 - 24 years,Male,Pedestrians,Killed,4
410,2006,21 - 24 years,Male,Pedal cyclists,Injured,8
411,2006,21 - 24 years,Male,Pedal cyclists,Killed,1
412,2006,21 - 24 years,Male,Other road users,Injured,81
413,2006,21 - 24 years,Male,Other road users,Killed,4
414,2006,21 - 24 years,Male,Motor cyclists,Injured,40
415,2006,21 - 24 years,Male,Motor cyclists,Killed,3
416,2006,21 - 24 years,Male,Car passengers,Injured,131
417,2006,21 - 24 years,Male,Car passengers,Killed,7
418,2006,21 - 24 years,Male,Car drivers,Injured,298
419,2006,21 - 24 years,Male,Car drivers,Killed,27
420,2006,21 - 24 years,Female,Pedestrians,Injured,26
421,2006,21 - 24 years,Female,Pedestrians,Killed,0
422,2006,21 - 24 years,Female,Pedal cyclists,Injured,4
423,2006,21 - 24 years,Female,Pedal cyclists,Killed,0
424,2006,21 - 24 years,Female,Other road users,Injured,14
425,2006,21 - 24 years,Female,Other road users,Killed,0
426,2006,21 - 24 years,Female,Motor cyclists,Injured,6
427,2006,21 - 24 years,Female,Motor cyclists,Killed,0
428,2006,21 - 24 years,Female,Car passengers,Injured,102
429,2006,21 - 24 years,Female,Car passengers,Killed,4
430,2006,21 - 24 years,Female,Car drivers,Injured,202
431,2006,21 - 24 years,Female,Car drivers,Killed,4
432,2006,25 - 34 years,Male,Pedestrians,Injured,63
433,2006,25 - 34 years,Male,Pedestrians,Killed,6
434,2006,25 - 34 years,Male,Pedal cyclists,Injured,38
435,2006,25 - 34 years,Male,Pedal cyclists,Killed,1
436,2006,25 - 34 years,Male,Other road users,Injured,203
437,2006,25 - 34 years,Male,Other road users,Killed,3
438,2006,25 - 34 years,Male,Motor cyclists,Injured,155
439,2006,25 - 34 years,Male,Motor cyclists,Killed,10
440,2006,25 - 34 years,Male,Car passengers,Injured,144
441,2006,25 - 34 years,Male,Car passengers,Killed,18
442,2006,25 - 34 years,Male,Car drivers,Injured,470
443,2006,25 - 34 years,Male,Car drivers,Killed,26
444,2006,25 - 34 years,Female,Pedestrians,Injured,45
445,2006,25 - 34 years,Female,Pedestrians,Killed,0
446,2006,25 - 34 years,Female,Pedal cyclists,Injured,12
447,2006,25 - 34 years,Female,Pedal cyclists,Killed,2
448,2006,25 - 34 years,Female,Other road users,Injured,27
449,2006,25 - 34 years,Female,Other road users,Killed,1
450,2006,25 - 34 years,Female,Motor cyclists,Injured,19
451,2006,25 - 34 years,Female,Motor cyclists,Killed,1
452,2006,25 - 34 years,Female,Car passengers,Injured,137
453,2006,25 - 34 years,Female,Car passengers,Killed,3
454,2006,25 - 34 years,Female,Car drivers,Injured,460
455,2006,25 - 34 years,Female,Car drivers,Killed,8
456,2006,35 - 44 years,Male,Pedestrians,Injured,56
457,2006,35 - 44 years,Male,Pedestrians,Killed,6
458,2006,35 - 44 years,Male,Pedal cyclists,Injured,24
459,2006,35 - 44 years,Male,Pedal cyclists,Killed,1
460,2006,35 - 44 years,Male,Other road users,Injured,143
461,2006,35 - 44 years,Male,Other road users,Killed,4
462,2006,35 - 44 years,Male,Motor cyclists,Injured,102
463,2006,35 - 44 years,Male,Motor cyclists,Killed,6
464,2006,35 - 44 years,Male,Car passengers,Injured,46
465,2006,35 - 44 years,Male,Car passengers,Killed,2
466,2006,35 - 44 years,Male,Car drivers,Injured,297
467,2006,35 - 44 years,Male,Car drivers,Killed,11
468,2006,35 - 44 years,Female,Pedestrians,Injured,28
469,2006,35 - 44 years,Female,Pedestrians,Killed,1
470,2006,35 - 44 years,Female,Pedal cyclists,Injured,5
471,2006,35 - 44 years,Female,Pedal cyclists,Killed,0
472,2006,35 - 44 years,Female,Other road users,Injured,21
473,2006,35 - 44 years,Female,Other road users,Killed,0
474,2006,35 - 44 years,Female,Motor cyclists,Injured,6
475,2006,35 - 44 years,Female,Motor cyclists,Killed,1
